gene,logFC,logCPM,LR,PValue,FDR
ENSG00000119915.5,-1.897289636,-3.871223215,4.817537978,0.028171557,0.995853392
ENSG00000286575.1,-1.471667011,-3.741276832,4.596185886,0.032043168,0.995853392
ENSG00000288933.2,-4.295044085,-4.65291368,8.738889806,0.003114941,0.995853392
ENSG00000285715.1,-4.053313239,-4.73647718,6.432963863,0.01120215,0.995853392
ENSG00000189275.6,-1.705053646,-4.206623987,3.947289205,0.046946937,0.995853392
ENSG00000224777.3,-1.851108879,-3.912699351,6.324373802,0.011908953,0.995853392
ENSG00000269915.1,-2.087747981,-4.320819423,5.391406192,0.020236157,0.995853392
ENSG00000205866.4,-3.704984854,-4.823943903,4.071423924,0.043614494,0.995853392
ENSG00000247473.2,-3.85847068,-4.813456908,5.707402056,0.016893522,0.995853392
ENSG00000258659.7,-3.792419257,-4.821338566,5.971657081,0.014537613,0.995853392
ENSG00000166368.3,-3.560549046,-4.899938097,4.980264172,0.025638068,0.995853392
ENSG00000289518.1,-3.50789013,-4.906567702,4.853131048,0.027595996,0.995853392
ENSG00000279266.1,-3.491967021,-4.908559441,4.815577273,0.028203623,0.995853392
ENSG00000255372.1,-3.53409999,-4.903255813,4.916031868,0.026608565,0.995853392
ENSG00000235661.3,-3.932024488,-4.809481045,5.179882243,0.022849872,0.995853392
ENSG00000286418.1,-3.502043957,-4.907244232,4.839812279,0.027809922,0.995853392
ENSG00000066336.13,-3.53409999,-4.903255813,4.916031868,0.026608565,0.995853392
ENSG00000255381.1,-4.125549071,-4.729320173,6.473284421,0.010950797,0.995853392
ENSG00000290995.1,-2.078310148,-4.32394441,4.881060282,0.027152935,0.995853392
ENSG00000255606.1,-3.518022864,-4.905251114,4.877673433,0.027206266,0.995853392
ENSG00000255261.1,-3.813982577,-4.819359964,6.435920531,0.011183519,0.995853392
ENSG00000158483.20,-3.26804779,-4.198961542,10.22932677,0.001382251,0.995853392
ENSG00000293324.1,-1.400934178,-3.061795865,4.17629046,0.040993333,0.995853392
ENSG00000166391.15,-1.675333353,-3.999051313,5.586279693,0.018101703,0.995853392
ENSG00000255363.3,-3.50789013,-4.906567702,4.853131048,0.027595996,0.995853392
ENSG00000254632.2,-3.813982577,-4.819359964,6.435920531,0.011183519,0.995853392
ENSG00000197882.3,-1.963400264,-4.095859487,4.88712873,0.027057649,0.995853392
ENSG00000234106.3,-0.902546906,-2.882923633,4.848858116,0.02766444,0.995853392
ENSG00000233497.4,-3.481921499,-4.909873778,4.791532321,0.028599973,0.995853392
ENSG00000149305.8,-2.604127094,-4.506537409,4.949658437,0.026095824,0.995853392
